CaptureSite,ForagingGround,CaptureMethod,Species,Sex,Status,CaptureSiteCategory,Type,year,week_of_year,year_woy
5,Creek,Not_Recorded,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,26,200726
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,35,201735
1,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,40,201540
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,2,201402
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2013,16,201316
7,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,42,201442
21,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,18,201418
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,49,201849
12,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2011,30,201130
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,24,201324
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2018,1,201801
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,23,200723
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,4,201504
1,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2011,24,201124
6,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,15,201415
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,44,201544
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,48,201748
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2004,51,200451
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,43,200443
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2003,20,200320
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,32,200532
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2016,30,201630
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,41,201741
2,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,51,201051
23,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,10,201210
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2004,13,200413
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,49,201649
6,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2016,50,201650
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,44,201544
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,48,200748
19,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,15,201415
13,Ocean,Collected Floater,Species_5,Unknown,   several b's on shell (all killed)& has 6 CS(5 CS is very small)& very small b's on flippers and neck area& tip of right front flipper is slightly jagged.,CaptureSiteCategory_2,Type_1,2003,21,200321
1,Ocean,Net,Species_5,,Released,CaptureSiteCategory_2,Type_1,2011,51,201151
11,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,47,201047
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,37,201237
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,19,201519
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,23,201223
11,Creek,Not_Recorded,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2000,9,200009
1,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,42,201542
3,Ocean,Net,Species_6,,Released,CaptureSiteCategory_2,Type_1,2011,52,201152
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2003,11,200311
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,6,201706
12,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,39,201439
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,6,201406
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,32,201232
25,Creek,Net,Species_5,Female,Released,CaptureSiteCategory_0,Type_0,2014,15,201415
22,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2013,39,201339
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,29,201229
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2011,4,201104
17,Creek,Net,Species_6,,,CaptureSiteCategory_4,Type_0,2010,43,201043
15,Creek,Net,Species_6,,Released,CaptureSiteCategory_0,Type_0,2011,42,201142
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,27,201727
22,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2006,50,200650
23,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,44,201144
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,1,201701
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,39,201039
7,Creek,Longline,Species_5,,,CaptureSiteCategory_4,Type_0,2008,51,200851
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,35,201735
10,Ocean,Net,Species_6,Unknown, pink algae on plastron,CaptureSiteCategory_2,Type_1,2017,13,201713
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,30,200430
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,32,201532
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,7,201207
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,13,201813
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,8,201508
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2001,29,200129
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2013,48,201348
27,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,49,201149
20,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,32,201432
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,28,201228
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,30,201430
15,Creek,Net,Species_6,,Released,CaptureSiteCategory_0,Type_0,2011,42,201142
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,47,201747
15,Creek,Net,Species_5,Unknown, 5 LLS,CaptureSiteCategory_0,Type_0,2017,21,201721
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2003,10,200310
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,44,201544
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,37,201537
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,9,200909
2,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,46,201046
23,Creek,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,19,201419
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,10,201610
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,14,201014
8,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,9,201509
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,9,201209
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,50,201550
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,11,201411
4,Ocean,Uzio,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,31,201231
21,Creek,Longline,Species_5,,,CaptureSiteCategory_0,Type_0,2011,19,201119
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2005,8,200508
16,Creek,Net,Species_5,,Released,CaptureSiteCategory_4,Type_0,2011,42,201142
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,49,201849
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,33,201233
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,1,201501
13,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2010,15,201015
15,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,19,201519
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,18,201218
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,50,201350
21,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,6,201106
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,7,200907
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,41,201241
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,12,201712
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,52,201852
16,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2011,19,201119
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,29,201729
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,33,200533
16,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2010,52,201052
14,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2013,25,201325
23,Creek,Net,Species_5,Unknown, healthy turtle,CaptureSiteCategory_0,Type_0,2017,19,201719
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,47,201447
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,4,201804
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,43,201043
6,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,22,201522
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2013,1,201301
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,29,201829
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,51,200451
12,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2011,4,201104
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,49,200749
12,Ocean,Net,Species_5,, several notches in RMS,CaptureSiteCategory_2,Type_1,2008,37,200837
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,32,201232
4,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,18,201418
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,45,201645
11,Creek,Beached,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2002,42,200242
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,51,201551
27,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,48,201148
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,7,201607
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,9,201609
14,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2002,8,200208
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,12,201712
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,19,201419
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,48,201848
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,49,201649
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,13,200813
25,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,49,201149
16,Creek,Uzio,Species_6,Unknown, marginals damaged serrations eroded way - caused by b's underneath,CaptureSiteCategory_4,Type_0,2001,29,200129
9,Ocean,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_1,Type_1,2014,5,201405
21,Creek,Longline,Species_5,,,CaptureSiteCategory_0,Type_0,2008,11,200811
17,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,19,201419
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,50,201550
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,37,201337
7,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2016,32,201632
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2003,50,200350
6,Creek,Net,Species_6,,,CaptureSiteCategory_4,Type_0,2010,33,201033
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,47,200747
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,5,201205
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,19,201419
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,6,201306
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,24,201624
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,28,200528
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2001,42,200142
17,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,41,201241
11,Creek,Longline,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,42,200542
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2018,50,201850
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,44,200444
5,Creek,Longline,Species_5,Unknown, green algae on carapace,CaptureSiteCategory_4,Type_0,2017,20,201720
25,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,24,201724
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,26,200526
19,Ocean,Longline,Species_6,,,CaptureSiteCategory_2,Type_1,2010,41,201041
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,8,200908
1,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,7,201207
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,8,201108
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2011,38,201138
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2011,21,201121
26,Ocean,Beached,Species_5,Unknown, sea lice in eyes,CaptureSiteCategory_3,Type_1,2003,38,200338
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,7,201207
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,7,201207
17,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,40,201440
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,13,201213
16,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2008,48,200848
15,Creek,Net,Species_6,,,CaptureSiteCategory_0,Type_0,2010,47,201047
21,Creek,Longline,Species_5,,,CaptureSiteCategory_0,Type_0,2008,50,200850
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,41,201841
13,Ocean,By Hand,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,46,201546
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,47,201747
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,45,201245
11,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,44,200544
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,40,201440
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,15,201415
24,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,8,201008
17,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2011,44,201144
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,24,201524
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,32,201632
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2018,4,201804
15,Creek,Net,Species_6,,Released,CaptureSiteCategory_0,Type_0,2011,40,201140
17,Creek,Net,Species_6,,Released,CaptureSiteCategory_4,Type_0,2011,50,201150
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,40,201540
23,Creek,Net,Species_6,Unknown, flaking on both 1st LS& 1st to 4th LMS + 1st to 3rd RMS,CaptureSiteCategory_0,Type_0,2004,8,200408
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,6,201506
9,Ocean,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,41,201241
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,14,201214
0,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,44,201544
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,13,200813
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,35,201235
25,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,13,201813
25,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2012,5,201205
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,7,201207
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,5,201005
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,4,201804
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,11,201211
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,2,201502
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,43,201643
16,Creek,Uzio,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2004,16,200416
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,50,201850
25,Creek,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_0,Type_0,2004,24,200424
9,Ocean,Longline,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,16,201416
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,23,201823
27,Creek,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_0,Type_0,2013,12,201312
23,Creek,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,14,201414
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,24,201724
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,45,201245
12,Ocean,Net,Species_5,Unknown, btw 9/10 & 11/12 LM piece missing,CaptureSiteCategory_2,Type_1,2001,52,200152
22,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2003,45,200345
3,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,45,201845
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2003,47,200347
7,Creek,Longline,Species_5,,Released,CaptureSiteCategory_4,Type_0,2011,51,201151
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,37,201737
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2016,42,201642
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,47,201647
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2011,10,201110
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,23,201823
9,Ocean,Jarife,Species_5,Female,Released,CaptureSiteCategory_1,Type_1,2013,15,201315
12,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2007,14,200714
5,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2011,26,201126
6,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,28,201228
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,44,200844
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,15,201415
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,40,201540
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,45,201745
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,30,201030
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,9,201509
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,48,201448
12,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2010,36,201036
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,46,201446
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,39,201639
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,44,201744
0,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,12,201612
15,Creek,Net,Species_6,,,CaptureSiteCategory_0,Type_0,2011,11,201111
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,29,200829
21,Creek,Longline,Species_5,,,CaptureSiteCategory_0,Type_0,2008,22,200822
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,46,201446
23,Creek,Longline,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2001,20,200120
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,8,201008
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,38,201338
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,50,201450
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,10,201810
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,20,201520
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,31,201731
21,Creek,Longline,Species_5,,,CaptureSiteCategory_0,Type_0,2011,21,201121
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,4,201004
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,27,201227
5,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,16,201816
3,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,38,201838
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,32,201832
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,30,201630
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,38,201438
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,1,201101
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,47,201347
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,40,201340
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,14,201414
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,35,201735
21,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,42,201342
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,49,201649
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,24,201524
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2011,30,201130
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,31,200431
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,29,201529
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,11,201311
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2005,43,200543
14,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,30,201230
7,Creek,Longline,Species_5,,Released,CaptureSiteCategory_4,Type_0,2012,3,201203
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2009,53,200953
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2006,46,200646
1,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2008,50,200850
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,50,201050
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,38,201838
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,18,201818
15,Creek,Net,Species_6,,Released,CaptureSiteCategory_0,Type_0,2011,49,201149
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,42,201742
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,33,201733
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,11,201211
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,43,200943
23,Creek,Net,Species_5,Unknown,,CaptureSiteCategory_0,Type_0,2001,25,200125
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2008,35,200835
6,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,41,201241
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2018,44,201844
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2008,35,200835
12,Ocean,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2006,1,200601
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,44,201444
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,44,201444
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,3,201403
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,11,201711
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,51,201051
16,Creek,Longline,Species_5,Female,Released,CaptureSiteCategory_4,Type_0,2016,23,201623
